user-name,clean_content,related_video,related_pics
Zu小zu,救命啊！母亲求助微博第五天了，虽然有热心相助的恩人帮忙指路。绝望的是最终依旧没有任何医院能收治我们，出省更是堪比登天！我们只能在家里眼泪流干，什么都做不了啊！  对于飞来横祸的普通老百姓，一条命算什么？蝼蚁一般而已！我们哪里是在人间？我们分明就是在地狱！@急诊夜鹰 @央视新闻,{},{}
Zu小zu,我母亲求助微博三天了，虽然有热心相助的恩人帮忙指路。事实最终依旧没有任何医院能收治我们，出省更是堪比登天！我们只能在家里绝望到无法呼吸，眼泪流干，什么都做不了啊！！！  对于飞来横祸的普通老百姓，一条命算什么？蝼蚁一般而已！！我们哪里是在人间？我们分明就是在地狱啊！,{},{}
Zu小zu,绝望啊！求助微博5天了，不论是市长热线还是急救120还是卫生健委等无数网络求助平台 甚至所有的医院我们都求遍了。没有任何平台能救治我们，母亲依然只能在家里绝望的等待。救我的母亲啊！！我的手机号:13971576637母亲于元月3日在汉口同济医院住院等待排除胆囊肿瘤的手术，因手术患者太多医生让我们于元月15号先出院等大年初七再来手术。结果初六得知同济医院全部被发热病人征用，无法手术，具体手术时间只能等通知。当时我们想着特殊时期只要身体能承受就只能先等着吧。谁知最近母亲病情加剧，腹痛难忍，全身发黄严重。我在好大夫在线联系到当时给母亲会诊的申教授，教授告诉我必须尽快带母亲找医院做一个PTCD经皮肝内胆管穿刺引流的手术，才能让病情不再继续恶化。谁知连续4天打了无数医院电话都被告知疫情期间所有手术都停摆，不接病人，不接手术！又打了无数个市长热线、市卫健委、指挥中心、社区等各部门电话，都说现在只能管新冠肺炎病人，其他病人都只能让路，只能等疫情结束等通知！！有好心的医务工作人员告诉我:现在就是天灾，很多像你母亲这样的病人都无法得到救治，现在只能管新冠病人，其他病人只能等！疫情期间大家都难熬，我们已经自我隔离19天没有感染新冠病毒！但是我母亲的命也是一条生命啊，我们难道就要这样眼睁睁的看着母亲离开我们么？我母亲才63岁啊！母亲本来患有多种基础疾病，经不起折腾了。目前母亲生死攸关，急需动手术！！/**/ 求好心人帮忙扩散，联系相关渠道和可做此穿刺手术的医院！！！！实在求助无门了，求助微博好心人帮帮我们！@来去之间 @次回鹳 @内藤君和西瓜酱 @协和医生Do先生 @我不是谦哥儿 @三联生活周刊 @央视新闻 @人民日报  @急诊夜鹰 @仓酱_ @童之伟 @侠客岛 @武汉市长专线 @头条新闻  @凤凰网 @武汉市卫生健康委员会 @我不是谦哥儿 @长江日报  @糖呗张丁文    @协和医生Do先生 @糖呗张丁文,{},"[{'pid': 'a469cbf9gy1gbkrk45uz2j20u0140jta', 'url': 'https://wx1.sinaimg.cn/orj360/a469cbf9gy1gbkrk45uz2j20u0140jta.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 480, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx1.sinaimg.cn/large/a469cbf9gy1gbkrk45uz2j20u0140jta.jpg', 'geo': {'width': '1080', 'height': '1440', 'croped': False}}}, {'pid': 'a469cbf9gy1gbkrk4s939j20u0140tdo', 'url': 'https://wx3.sinaimg.cn/orj360/a469cbf9gy1gbkrk4s939j20u0140tdo.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 480, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx3.sinaimg.cn/large/a469cbf9gy1gbkrk4s939j20u0140tdo.jpg', 'geo': {'width': '1080', 'height': '1440', 'croped': False}}}, {'pid': 'a469cbf9gy1gbkrk5fq8zj20v91voqee', 'url': 'https://wx3.sinaimg.cn/orj360/a469cbf9gy1gbkrk5fq8zj20v91voqee.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 779, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx3.sinaimg.cn/large/a469cbf9gy1gbkrk5fq8zj20v91voqee.jpg', 'geo': {'width': '1125', 'height': '2436', 'croped': False}}}, {'pid': 'a469cbf9gy1gbpae53qknj20pt1hc1jj', 'url': 'https://wx3.sinaimg.cn/orj360/a469cbf9gy1gbpae53qknj20pt1hc1jj.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 744, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx3.sinaimg.cn/large/a469cbf9gy1gbpae53qknj20pt1hc1jj.jpg', 'geo': {'width': '929', 'height': '1920', 'croped': False}}}, {'pid': 'a469cbf9gy1gbpae5rjr1j20v91vohcr', 'url': 'https://wx1.sinaimg.cn/orj360/a469cbf9gy1gbpae5rjr1j20v91vohcr.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 779, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx1.sinaimg.cn/large/a469cbf9gy1gbpae5rjr1j20v91vohcr.jpg', 'geo': {'width': '1125', 'height': '2436', 'croped': False}}}]"
Zu小zu,我发表了头条文章:《足不出户第十二天！》  ,{},{}
Zu小zu,我发表了头条文章:《足不出户第六天了！》  ,{},{}
Zu小zu,今天真的只是初三么？从封城到今日，一个礼拜不到的时间仿佛一个世纪，度日如年啊！ ,{},{}
Zu小zu,揪心。,{},{}
Zu小zu,转发微博,{},{}
Zu小zu,封城了。做好自我防护。,{},{}
Zu小zu,每个人都需要未雨绸缪，远离野味，不凑热闹，做好防护。越少人感染，突变出高致病性持续人传人毒株的几率就越小。保护我们自己，也就是保护了家人、朋友以及所有人。,{},{}
