user-name,clean_content,related_video,related_pics
喻金萍2628,胃管明天早上医院的医生，也是妻子的管床医生可以在医院帮我们开。但是现在武汉市这样情况没有，护士可以提供上门服务，我们现在主要需要一个护士到家里来帮妻子把胃管上上去就非常感谢了。  ,{},{}
喻金萍2628,急需一位护士到家里给妻子上胃管，谢谢大家帮我转发🙏🙏🙏  ,{},{}
喻金萍2628,本人住武汉市汉阳区。琴台大道。赫山路。碧水晴天天小区。208栋。杨祥斌，13477078218，谢谢大家   ,"{'id': '4471276291686430', 'stream_url': 'http://f.video.weibocdn.com/0047tOFTgx07AU3h8FMk010412007wF20E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538746&ssig=6l8OPsOBlj&KID=unistore,video'}",{}
喻金萍2628,紧急求教，刚才八点多钟的时候到厨房打水，妻子把胃管弄掉了，我们现在又不能到医院去。希望大家帮我转发，明天外管送达后，能否有专业的医护人员或者指导，或者能够到家里来帮妻子把胃管上进去。联系电话13477078218杨祥斌，谢谢   ,{},{}
喻金萍2628,紧急求救，刚才给妻子打水的几分钟，妻子的胃管又掉了，明天还不知道能不能买到，旧的胃管已经发硬不能用了，上次胃管掉了，打市长专线求救，24小时打了5个电话，都没能解决，最还是叫救护芊送到医院后才解决，可现在非常时期，我们根本就不敢到医院去。希望大家帮忙转发，有在武汉市，特别在汉阳区琴台大道碧水晴天附近，有在医院上班的护士能否上门服务？谢谢大家转发。  ,"{'id': '4471237993496632', 'stream_url': 'http://f.video.weibocdn.com/0012Ck1Vgx07ATSPjjmf010412007x630E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538708&ssig=QvCqg3T6KS&KID=unistore,video'}",{}
喻金萍2628,这是我的微信号，如果微博上能够有朋友能够买到无菌纱布棉签和和我联系加微信。谢谢大家。  ,{},"[{'pid': '007XVLPmly1gbtcwopi30j30by0byt9h', 'url': 'https://wx2.sinaimg.cn/orj360/007XVLPmly1gbtcwopi30j30by0byt9h.jpg', 'size': 'orj360', 'geo': {'width': 360, 'height': 360, 'croped': False}, 'large': {'size': 'large', 'url': 'https://wx2.sinaimg.cn/large/007XVLPmly1gbtcwopi30j30by0byt9h.jpg', 'geo': {'width': '430', 'height': '430', 'croped': False}}}]"
喻金萍2628,刚刚给妻子换好气切套管和外面的无菌护理纱布，现在家里主要短缺的就是这些医疗护理用品。平时在药店里都买得到，可现在药店里很难买到。连消毒棉签都很难买到。现在我又不能够出去，希望住在武汉市最好是汉阳区的同城朋友能够与本人联系。外地的朋友也可以。本人联系电话。13477078218杨祥斌，XYXb2826微信。  ,"{'id': '4471057155817477', 'stream_url': 'http://f.video.weibocdn.com/001CAcdMgx07AT5tdo0f01041200693a0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538746&ssig=bf%2BzIIXwaZ&KID=unistore,video'}",{}
喻金萍2628,对面阳台上的两只斑鸠，每天早上就等在那。等我撒一点点米粒放到我们的空调外挂机机上他们就会飞过来。现在人与人之间都只能用微信交了，这也算是一种打发寂寞的方式吧。   ,"{'id': '4471047014252550', 'stream_url': 'http://f.video.weibocdn.com/004tCovRgx07AT2HJcQo01041200aOVS0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538746&ssig=2hWb8fzQnx&KID=unistore,video'}",{}
喻金萍2628,新的一天又开始了整个小区里面，除了一个做清洁的工人外，一个人都看不到。如果没有小区里各种小鸟的鸣叫声。 小区的早上就和晚上一样，寂静一片。我们小区里也有了确诊和疑似的患者。按照武汉市政府昨天的公告，我们小区应该已经封闭了。而且在家自行隔离的病人已经都送到医院去了。但微博上却看见还有许多的病人，还是没有及时送到医院，还在求助。  ,{},{}
喻金萍2628,转发微博,{},{}
喻金萍2628,"现在12:30,听见 妻子把床栏杆摇着响声后，连忙从沙发上爬起来，看见妻子呼吸急促，赶紧把喉咙里的气切套管拿下来，里面都堵了一大半，把消毒干净的套管换上，喉咙里面的痰抽干净，浸湿的尿片换掉后，给妻子喂水，擦汗，把妻子哄睡着，已快凌晨一点钟了。赶紧睡吧，过两个小时又得起床啦  ","{'id': '4470945927069705', 'stream_url': 'http://f.video.weibocdn.com/0004wd7igx07ASB7hlxl010412003Tuo0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538792&ssig=aOT55chUo6&KID=unistore,video'}",{}
喻金萍2628,今天晚上是妻子回家以后一个多月最安静的一个晚上。刚刚给她换了尿片也没有像很多时候一样喘气，精神紧张，不停的换尿布，现在安静的睡了。5天来我才洗了个澡，每天忙的都是疲劳到了极点，倒在沙发上睡了。现在可以安心的睡一下了。12:00又得起来看一下妻子垫的尿片湿了没有？感谢大家的关心与帮助，祝福大家平安吉祥。 ,{},{}
喻金萍2628,今天晚上，现在都挺好，妻子吃饱了，现在睡得也挺安稳。不知道待会儿换尿片醒来以后会出现什么状况。这几天妻子喉咙里的痰稍微多了一点。但社区卫生站里也没有了。明天看吧，看明天医院里有没有吧。  ,{},{}
喻金萍2628,我分享了文章  ,{},{}
喻金萍2628,回复@超级小超201802:谢谢您的关心，我就把存折上传吧。//@超级小超201802:回复@喻金萍2628:您先上传吧。那我转账写“借款”应该不算家庭收入吧！总不能给你们帮倒忙,{},{}
喻金萍2628,回复@我在赤道的边境:还好吧，很多的时候不是因为你看到了希望才坚持，而是坚持了以后才看到希望。6年前妻子在医院10个多月经历两次开颅手术的时候，我都坚持过来了。第1次26天才苏醒过来。第2次手术是31天苏醒过来的。当时医生都感到没什么希望了。但是我始终都没有放弃。但是在这个坚守的过程当中是很痛苦很痛苦的。,{},{}
喻金萍2628,转发微博,{},{}
喻金萍2628,方六老师写出了我们武汉人现在最真实的生活状况，也写出了我们对生活的期待。『方方：生活那么艰难，但办法还是有的』 ,{},{}
喻金萍2628,妻子和我一样也只睡了半晚上，几个小时，但现在早上起来喂他她了以后，气色看起来还不错，就是喉咙里的痰比前几天多了一点。妻子抽痰用的盐水也快用完了。还不知道外面买不买得到。现在用的还是华康医院的殷院长帮我们买的。妻子因病致残6年多了。也一直得到华康医院院长和陈主任的关心与帮助。6年多来，我们夫妻经历了很多美与丑，善与恶，诚信与谎言的事情。但还是好人多吧。就像现在微博上许多善良好心的网友一样。  ,"{'id': '4470732432801807', 'stream_url': 'http://f.video.weibocdn.com/001LLXpXgx07ARERbp560104120056j20E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538792&ssig=xYZL%2FIz7vy&KID=unistore,video'}",{}
喻金萍2628,早上在小区门口买了半袋胡萝卜，5块钱一斤花了53块钱。是平时价格的三倍，因为妻子每天吃的流食里面需要这些营养物质 ，家里两个冰箱里面储存的食物差不多都快完了。还有二十几个肉丸子。现在每天给妻子吃一个。两个鸡蛋也减为一个，尽量能够保证妻子每天所需要的营养。她的身体现在虽然没有消瘦，但腿上的肌肉已经萎缩的很厉害。超市菜场，现在几乎都没有这些食品卖了。昨天一天我就吃了4碗快餐面。家人同学亲朋好友虽然都住在同一个城市，但因为现在隔离区域区之间都不能够来往。所以家里有吃的也不能给我们送来。真的不知道，这样的日子还会持续多久，差不多有20多天都没看电视。因为我们当地的电视台里面播放的新闻，感觉就像梦幻一般。（超市里营业正常，物品丰富，居民也没抢购，而且青菜的价格比疫情发生之前还要便宜，小白菜居然只2块3毛9）。但我们小区门口买小白菜，已经6块钱一斤了。活在新闻里真幸福。活在现实生活中很困难。  ,"{'id': '4470730243375111', 'stream_url': 'http://f.video.weibocdn.com/0033hvyrgx07AREgf8re010412006PHn0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538841&ssig=28FAa03PVd&KID=unistore,video'}",{}
喻金萍2628,感谢全体医护人员,{},{}
喻金萍2628,转发微博,{},{}
喻金萍2628,睡了不到两个小时，就得起来给妻子抽痰，然后换尿片，再睡一会儿床就得起床了。新的忙碌的一天又得开始了。  ,{},{}
喻金萍2628,从9:00一直忙到现在，妻子终于睡着了。肚子也蛮饿了，家里什么东西都没有，就快餐面了。这已经是今天的第4碗了。超市里，馒头饺子都已经卖空了。街面上也没有开业的。   ,"{'id': '4470591550586902', 'stream_url': 'http://f.video.weibocdn.com/000J6SWCgx07AR2pHXnx0104120073AT0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538841&ssig=rEBJIuVHHW&KID=unistore,video'}",{}
喻金萍2628,有时照顾妻子起来真的左右为难。就像现在，她本来睡着了，但是摸到她身下垫着的尿布湿了。就得马上给换好，可换好后现在醒了又不睡觉了。真的跟小孩一样。   ,"{'id': '4470557127933966', 'stream_url': 'http://f.video.weibocdn.com/003ATyfNgx07AQT1v1CD010412006yXn0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538841&ssig=1hiTMUhWUr&KID=unistore,video'}",{}
喻金萍2628,转发微博,{},{}
喻金萍2628,转发微博,{},{}
喻金萍2628,回复@超级小超201802:非常感谢您的关心。//@超级小超201802:可以的话，把银行卡号或者微信号发一下吧,{},{}
喻金萍2628,回复@tracy911:谢谢您的关心，如果是在平时可能我就用纸尿裤，但是现在武汉是非常时期，家里这些中单纸尿裤用完了以后就没有地方去买了所以只得把纸尿裤反着垫在床上下面垫中单然后再用床单改的布尿片垫在妻子的身上妻子6年前第1次住院10个月我也是这样做的然后这些纸尿裤浸湿的不是挺严重的话，就晒干了以后继续用。,{},{}
喻金萍2628,每天最累的事情就是做这项事吧，稍微有一点疏漏，或者一个中单没铺好，或者纸尿裤没垫好，就得重新铺第2遍。还好妻子这两天晚上都睡得很安稳。所以我也晚上可以睡两个钟头之后，起来再给她换一次尿布。真的希望这场瘟疫早点结束吧。在我们武汉这座城市。几乎所有我认识的人都感觉好累好累。衷心希望每一个人都能平安的度过这段难关。  ,"{'id': '4470374822510596', 'stream_url': 'http://f.video.weibocdn.com/003sDiPXgx07AQ5h1t6E010412009Gsc0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&Expires=1581538888&ssig=Df5Z9GB2UO&KID=unistore,video'}",{}
喻金萍2628,//@何抒凝执业中药师助理中医师:余大夫，请教您：您和其它染病的患者，是刚发病就发烧干咳无痰无鼻涕吗？祝㊗平安，吉祥,{},{}
